lot_size,loss_trigger,profit_target,year_end_net_profit,year_end_net_capital
0.01,25,70,0.01,1000.01
0.01,35,20,0.01,1000.01
0.01,25,80,0.01,1000.01
0.01,25,100,0.01,1000.01
0.01,30,40,0.01,1000.01
0.01,30,60,0.01,1000.01
0.01,30,80,0.01,1000.01
0.01,35,40,0.01,1000.01
0.01,30,30,0.01,1000.01
0.01,10,50,0.01,1000.01
0.01,5,40,0.01,1000.01
0.01,15,50,0.01,1000.01
0.01,10,70,0.01,1000.01
0.01,10,80,0.01,1000.01
0.01,10,90,0.01,1000.01
0.01,10,100,0.01,1000.01
0.01,15,10,0.01,1000.01
0.01,10,30,0.01,1000.01
0.01,35,50,0.01,1000.01
0.01,10,40,0.01,1000.01
0.01,15,70,0.01,1000.01
0.01,15,80,0.01,1000.01
0.01,10,20,0.01,1000.01
0.01,15,90,0.01,1000.01
0.01,5,50,0.01,1000.01
0.01,20,30,0.01,1000.01
0.02,50,70,0.01,1000.01
0.02,15,90,0.01,1000.01
0.02,15,70,0.01,1000.01
0.01,50,90,0.01,1000.01
0.02,30,40,0.01,1000.01
0.02,5,40,0.01,1000.01
0.02,5,50,0.01,1000.01
0.02,5,60,0.01,1000.01
0.02,5,100,0.01,1000.01
0.02,10,30,0.01,1000.01
0.02,30,20,0.01,1000.01
0.02,10,40,0.01,1000.01
0.02,25,100,0.01,1000.01
0.02,10,60,0.01,1000.01
0.02,25,40,0.01,1000.01
0.02,25,30,0.01,1000.01
0.02,25,10,0.01,1000.01
0.02,20,100,0.01,1000.01
0.02,20,80,0.01,1000.01
0.02,20,70,0.01,1000.01
0.02,10,70,0.01,1000.01
0.02,10,100,0.01,1000.01
0.02,15,20,0.01,1000.01
0.02,20,60,0.01,1000.01
0.02,15,40,0.01,1000.01
0.02,15,50,0.01,1000.01
0.02,20,50,0.01,1000.01
0.02,20,10,0.01,1000.01
0.02,15,100,0.01,1000.01
0.02,30,60,0.01,1000.01
0.01,50,70,0.01,1000.01
0.01,35,70,0.01,1000.01
0.01,50,30,0.01,1000.01
0.01,35,80,0.01,1000.01
0.02,50,50,0.01,1000.01
0.02,50,40,0.01,1000.01
0.01,40,30,0.01,1000.01
0.01,40,40,0.01,1000.01
0.02,50,30,0.01,1000.01
0.02,50,10,0.01,1000.01
0.01,40,50,0.01,1000.01
0.02,45,20,0.01,1000.01
0.02,40,100,0.01,1000.01
0.01,40,80,0.01,1000.01
0.01,45,20,0.01,1000.01
0.02,40,30,0.01,1000.01
0.02,40,10,0.01,1000.01
0.02,35,80,0.01,1000.01
0.02,35,60,0.01,1000.01
0.01,45,30,0.01,1000.01
0.02,35,40,0.01,1000.01
0.02,35,30,0.01,1000.01
0.01,45,40,0.01,1000.01
0.01,45,60,0.01,1000.01
0.02,35,20,0.01,1000.01
0.01,45,80,0.01,1000.01
0.02,30,90,0.01,1000.01
0.01,50,20,0.01,1000.01
0.01,35,60,0.01,1000.01
0.02,45,50,0.01,1000.01
0.01,5,10,0.01,1000.01
0.02,50,60,-0.01,999.99
0.02,50,80,-0.01,999.99
0.02,50,90,-0.01,999.99
0.02,25,20,-0.01,999.99
0.02,20,90,-0.01,999.99
0.02,20,40,-0.01,999.99
0.02,20,30,-0.01,999.99
0.02,20,20,-0.01,999.99
0.02,15,80,-0.01,999.99
0.02,15,60,-0.01,999.99
0.02,15,30,-0.01,999.99
0.02,15,10,-0.01,999.99
0.02,10,90,-0.01,999.99
0.02,10,80,-0.01,999.99
0.02,10,50,-0.01,999.99
0.02,10,20,-0.01,999.99
0.02,10,10,-0.01,999.99
0.02,5,90,-0.01,999.99
0.02,5,80,-0.01,999.99
0.02,5,70,-0.01,999.99
0.02,5,30,-0.01,999.99
0.02,5,20,-0.01,999.99
0.02,5,10,-0.01,999.99
0.01,50,100,-0.01,999.99
0.01,50,80,-0.01,999.99
0.01,50,60,-0.01,999.99
